Protein.Group,Genes,protein_label,sample_label,PG.MaxLFQ,missing_status,n_missing,percent_missing
A6NGB9,WIPF3,WIPF3 | A6NGB9,GFP1,NA,Missing,5,83.33333333333333
P38936,CDKN1A,CDKN1A | P38936,GFP3,17846.986328125,Detected,2,33.333333333333336
P38936,CDKN1A,CDKN1A | P38936,RDH1,NA,Missing,2,33.333333333333336
P38936,CDKN1A,CDKN1A | P38936,RDH2,20069.8125,Detected,2,33.333333333333336
P38936,CDKN1A,CDKN1A | P38936,RDH3,NA,Missing,2,33.333333333333336
P41273,TNFSF9,TNFSF9 | P41273,GFP1,2759.34423828125,Detected,4,66.66666666666667
P41273,TNFSF9,TNFSF9 | P41273,GFP2,NA,Missing,4,66.66666666666667
P41273,TNFSF9,TNFSF9 | P41273,GFP3,NA,Missing,4,66.66666666666667
P41273,TNFSF9,TNFSF9 | P41273,RDH1,4627.09912109375,Detected,4,66.66666666666667
P41273,TNFSF9,TNFSF9 | P41273,RDH2,NA,Missing,4,66.66666666666667
P41273,TNFSF9,TNFSF9 | P41273,RDH3,NA,Missing,4,66.66666666666667
P43699,NKX2-1,NKX2-1 | P43699,GFP1,22714.6875,Detected,5,83.33333333333333
P43699,NKX2-1,NKX2-1 | P43699,GFP2,NA,Missing,5,83.33333333333333
P43699,NKX2-1,NKX2-1 | P43699,GFP3,NA,Missing,5,83.33333333333333
P43699,NKX2-1,NKX2-1 | P43699,RDH1,NA,Missing,5,83.33333333333333
P43699,NKX2-1,NKX2-1 | P43699,RDH2,NA,Missing,5,83.33333333333333
P43699,NKX2-1,NKX2-1 | P43699,RDH3,NA,Missing,5,83.33333333333333
P45844,ABCG1,ABCG1 | P45844,GFP1,13435.642578125,Detected,3,50
P45844,ABCG1,ABCG1 | P45844,GFP2,NA,Missing,3,50
P45844,ABCG1,ABCG1 | P45844,GFP3,NA,Missing,3,50
P45844,ABCG1,ABCG1 | P45844,RDH1,6857.15185546875,Detected,3,50
P45844,ABCG1,ABCG1 | P45844,RDH2,2330.5302734375,Detected,3,50
P45844,ABCG1,ABCG1 | P45844,RDH3,NA,Missing,3,50
P49184,DNASE1L1,DNASE1L1 | P49184,GFP1,19826.306640625,Detected,4,66.66666666666667
P49184,DNASE1L1,DNASE1L1 | P49184,GFP2,NA,Missing,4,66.66666666666667
P49184,DNASE1L1,DNASE1L1 | P49184,GFP3,NA,Missing,4,66.66666666666667
P49184,DNASE1L1,DNASE1L1 | P49184,RDH1,15344.34765625,Detected,4,66.66666666666667
P49184,DNASE1L1,DNASE1L1 | P49184,RDH2,NA,Missing,4,66.66666666666667
P49184,DNASE1L1,DNASE1L1 | P49184,RDH3,NA,Missing,4,66.66666666666667
P49747,COMP,COMP | P49747,GFP1,NA,Missing,5,83.33333333333333
P49747,COMP,COMP | P49747,GFP2,NA,Missing,5,83.33333333333333
P49747,COMP,COMP | P49747,GFP3,NA,Missing,5,83.33333333333333
P49747,COMP,COMP | P49747,RDH1,NA,Missing,5,83.33333333333333
P49747,COMP,COMP | P49747,RDH2,NA,Missing,5,83.33333333333333
P49747,COMP,COMP | P49747,RDH3,36642.11328125,Detected,5,83.33333333333333
P51511,MMP15,MMP15 | P51511,GFP1,NA,Missing,5,83.33333333333333
P51511,MMP15,MMP15 | P51511,GFP2,NA,Missing,5,83.33333333333333
P51511,MMP15,MMP15 | P51511,GFP3,NA,Missing,5,83.33333333333333
P51511,MMP15,MMP15 | P51511,RDH1,27777.9453125,Detected,5,83.33333333333333
P51511,MMP15,MMP15 | P51511,RDH2,NA,Missing,5,83.33333333333333
P51511,MMP15,MMP15 | P51511,RDH3,NA,Missing,5,83.33333333333333
P51636,CAV2,CAV2 | P51636,GFP1,NA,Missing,4,66.66666666666667
P51636,CAV2,CAV2 | P51636,GFP2,NA,Missing,4,66.66666666666667
P51636,CAV2,CAV2 | P51636,GFP3,8896.4833984375,Detected,4,66.66666666666667
P51636,CAV2,CAV2 | P51636,RDH1,21903.716796875,Detected,4,66.66666666666667
P51636,CAV2,CAV2 | P51636,RDH2,NA,Missing,4,66.66666666666667
P51636,CAV2,CAV2 | P51636,RDH3,NA,Missing,4,66.66666666666667
P52797,EFNA3,EFNA3 | P52797,GFP1,14482.2451171875,Detected,4,66.66666666666667
P52797,EFNA3,EFNA3 | P52797,GFP2,NA,Missing,4,66.66666666666667
P52797,EFNA3,EFNA3 | P52797,GFP3,NA,Missing,4,66.66666666666667
P52797,EFNA3,EFNA3 | P52797,RDH1,16207.1748046875,Detected,4,66.66666666666667
P52797,EFNA3,EFNA3 | P52797,RDH2,NA,Missing,4,66.66666666666667
P52797,EFNA3,EFNA3 | P52797,RDH3,NA,Missing,4,66.66666666666667
P52799,EFNB2,EFNB2 | P52799,GFP1,35823.3203125,Detected,4,66.66666666666667
P52799,EFNB2,EFNB2 | P52799,GFP2,NA,Missing,4,66.66666666666667
P52799,EFNB2,EFNB2 | P52799,GFP3,NA,Missing,4,66.66666666666667
P52799,EFNB2,EFNB2 | P52799,RDH1,17567.650390625,Detected,4,66.66666666666667
P52799,EFNB2,EFNB2 | P52799,RDH2,NA,Missing,4,66.66666666666667
P52799,EFNB2,EFNB2 | P52799,RDH3,NA,Missing,4,66.66666666666667
P52803,EFNA5,EFNA5 | P52803,GFP1,29713.9140625,Detected,2,33.333333333333336
P52803,EFNA5,EFNA5 | P52803,GFP2,NA,Missing,2,33.333333333333336
P52803,EFNA5,EFNA5 | P52803,GFP3,4350.40869140625,Detected,2,33.333333333333336
P52803,EFNA5,EFNA5 | P52803,RDH1,41035.58984375,Detected,2,33.333333333333336
P52803,EFNA5,EFNA5 | P52803,RDH2,NA,Missing,2,33.333333333333336
P52803,EFNA5,EFNA5 | P52803,RDH3,4624.25927734375,Detected,2,33.333333333333336
P55055,NR1H2,NR1H2 | P55055,GFP1,NA,Missing,4,66.66666666666667
P55055,NR1H2,NR1H2 | P55055,GFP2,NA,Missing,4,66.66666666666667
P55055,NR1H2,NR1H2 | P55055,GFP3,8250.1240234375,Detected,4,66.66666666666667
P55055,NR1H2,NR1H2 | P55055,RDH1,13107.8720703125,Detected,4,66.66666666666667
P55055,NR1H2,NR1H2 | P55055,RDH2,NA,Missing,4,66.66666666666667
P55055,NR1H2,NR1H2 | P55055,RDH3,NA,Missing,4,66.66666666666667
P55058,PLTP,PLTP | P55058,GFP1,NA,Missing,3,50
P55058,PLTP,PLTP | P55058,GFP2,NA,Missing,3,50
P55058,PLTP,PLTP | P55058,GFP3,NA,Missing,3,50
P55058,PLTP,PLTP | P55058,RDH1,9736.2744140625,Detected,3,50
P55058,PLTP,PLTP | P55058,RDH2,8393.4521484375,Detected,3,50
P55058,PLTP,PLTP | P55058,RDH3,4722.89892578125,Detected,3,50
P58166,INHBE,INHBE | P58166,GFP1,21232.9453125,Detected,3,50
P58166,INHBE,INHBE | P58166,GFP2,NA,Missing,3,50
P58166,INHBE,INHBE | P58166,GFP3,6609.0322265625,Detected,3,50
P58166,INHBE,INHBE | P58166,RDH1,3327.58837890625,Detected,3,50
P58166,INHBE,INHBE | P58166,RDH2,NA,Missing,3,50
P58166,INHBE,INHBE | P58166,RDH3,NA,Missing,3,50
P58340,MLF1,MLF1 | P58340,GFP1,NA,Missing,3,50
P58340,MLF1,MLF1 | P58340,GFP2,NA,Missing,3,50
P58340,MLF1,MLF1 | P58340,GFP3,NA,Missing,3,50
P58340,MLF1,MLF1 | P58340,RDH1,13196.8876953125,Detected,3,50
P58340,MLF1,MLF1 | P58340,RDH2,10775.259765625,Detected,3,50
P58340,MLF1,MLF1 | P58340,RDH3,9819.18359375,Detected,3,50
P78324,SIRPA,SIRPA | P78324,GFP1,17913.443359375,Detected,3,50
P78324,SIRPA,SIRPA | P78324,GFP2,4540.08984375,Detected,3,50
P78324,SIRPA,SIRPA | P78324,GFP3,NA,Missing,3,50
P78324,SIRPA,SIRPA | P78324,RDH1,12330.8447265625,Detected,3,50
P78324,SIRPA,SIRPA | P78324,RDH2,NA,Missing,3,50
P78324,SIRPA,SIRPA | P78324,RDH3,NA,Missing,3,50
P78352,DLG4,DLG4 | P78352,GFP1,15884.5712890625,Detected,4,66.66666666666667
P78352,DLG4,DLG4 | P78352,GFP2,NA,Missing,4,66.66666666666667
P78352,DLG4,DLG4 | P78352,GFP3,NA,Missing,4,66.66666666666667
P78352,DLG4,DLG4 | P78352,RDH1,15626.853515625,Detected,4,66.66666666666667
P78352,DLG4,DLG4 | P78352,RDH2,NA,Missing,4,66.66666666666667
P78352,DLG4,DLG4 | P78352,RDH3,NA,Missing,4,66.66666666666667
P98196,ATP11A,ATP11A | P98196,GFP1,NA,Missing,4,66.66666666666667
P98196,ATP11A,ATP11A | P98196,GFP2,NA,Missing,4,66.66666666666667
P98196,ATP11A,ATP11A | P98196,GFP3,4539.50537109375,Detected,4,66.66666666666667
P98196,ATP11A,ATP11A | P98196,RDH1,10151.23828125,Detected,4,66.66666666666667
P98196,ATP11A,ATP11A | P98196,RDH2,NA,Missing,4,66.66666666666667
P98196,ATP11A,ATP11A | P98196,RDH3,NA,Missing,4,66.66666666666667
P98198,ATP8B2,ATP8B2 | P98198,GFP1,15125.4521484375,Detected,2,33.333333333333336
P98198,ATP8B2,ATP8B2 | P98198,GFP2,NA,Missing,2,33.333333333333336
P98198,ATP8B2,ATP8B2 | P98198,GFP3,17664.982421875,Detected,2,33.333333333333336
P98198,ATP8B2,ATP8B2 | P98198,RDH1,24117.064453125,Detected,2,33.333333333333336
P98198,ATP8B2,ATP8B2 | P98198,RDH2,25924.849609375,Detected,2,33.333333333333336
P98198,ATP8B2,ATP8B2 | P98198,RDH3,NA,Missing,2,33.333333333333336
Q00597,FANCC,FANCC | Q00597,GFP1,17506.77734375,Detected,2,33.333333333333336
Q00597,FANCC,FANCC | Q00597,GFP2,4398.5009765625,Detected,2,33.333333333333336
Q00597,FANCC,FANCC | Q00597,GFP3,0,Missing,2,33.333333333333336
Q00597,FANCC,FANCC | Q00597,RDH1,12304.1875,Detected,2,33.333333333333336
Q00597,FANCC,FANCC | Q00597,RDH2,3150.2861328125,Detected,2,33.333333333333336
Q00597,FANCC,FANCC | Q00597,RDH3,NA,Missing,2,33.333333333333336
Q04912,MST1R,MST1R | Q04912,GFP1,NA,Missing,4,66.66666666666667
Q04912,MST1R,MST1R | Q04912,GFP2,24422.623046875,Detected,4,66.66666666666667
Q04912,MST1R,MST1R | Q04912,GFP3,20325.271484375,Detected,4,66.66666666666667
Q04912,MST1R,MST1R | Q04912,RDH1,NA,Missing,4,66.66666666666667
Q04912,MST1R,MST1R | Q04912,RDH2,NA,Missing,4,66.66666666666667
Q04912,MST1R,MST1R | Q04912,RDH3,NA,Missing,4,66.66666666666667
Q0P651,ABHD18,ABHD18 | Q0P651,GFP1,4883.9404296875,Detected,3,50
Q0P651,ABHD18,ABHD18 | Q0P651,GFP2,NA,Missing,3,50
Q0P651,ABHD18,ABHD18 | Q0P651,GFP3,NA,Missing,3,50
Q0P651,ABHD18,ABHD18 | Q0P651,RDH1,11568.24609375,Detected,3,50
Q0P651,ABHD18,ABHD18 | Q0P651,RDH2,NA,Missing,3,50
Q0P651,ABHD18,ABHD18 | Q0P651,RDH3,4600.154296875,Detected,3,50
Q12887,COX10,COX10 | Q12887,GFP1,14144.892578125,Detected,3,50
Q12887,COX10,COX10 | Q12887,GFP2,NA,Missing,3,50
Q12887,COX10,COX10 | Q12887,GFP3,NA,Missing,3,50
Q12887,COX10,COX10 | Q12887,RDH1,16300.203125,Detected,3,50
Q12887,COX10,COX10 | Q12887,RDH2,NA,Missing,3,50
Q12887,COX10,COX10 | Q12887,RDH3,8236.404296875,Detected,3,50
Q13542,EIF4EBP2,EIF4EBP2 | Q13542,GFP1,2024.753173828125,Detected,3,50
Q13542,EIF4EBP2,EIF4EBP2 | Q13542,GFP2,8376.5732421875,Detected,3,50
Q13542,EIF4EBP2,EIF4EBP2 | Q13542,GFP3,3588.304931640625,Detected,3,50
Q13542,EIF4EBP2,EIF4EBP2 | Q13542,RDH1,NA,Missing,3,50
Q13542,EIF4EBP2,EIF4EBP2 | Q13542,RDH2,0,Missing,3,50
Q13542,EIF4EBP2,EIF4EBP2 | Q13542,RDH3,NA,Missing,3,50
Q13585,GPR50,GPR50 | Q13585,GFP1,3015.36474609375,Detected,4,66.66666666666667
Q13585,GPR50,GPR50 | Q13585,GFP2,NA,Missing,4,66.66666666666667
Q13585,GPR50,GPR50 | Q13585,GFP3,NA,Missing,4,66.66666666666667
Q13585,GPR50,GPR50 | Q13585,RDH1,17464.802734375,Detected,4,66.66666666666667
Q13585,GPR50,GPR50 | Q13585,RDH2,NA,Missing,4,66.66666666666667
Q13585,GPR50,GPR50 | Q13585,RDH3,NA,Missing,4,66.66666666666667
Q13686,ALKBH1,ALKBH1 | Q13686,GFP1,11372.8984375,Detected,2,33.333333333333336
Q13686,ALKBH1,ALKBH1 | Q13686,GFP2,6649.13232421875,Detected,2,33.333333333333336
Q13686,ALKBH1,ALKBH1 | Q13686,GFP3,7437.462890625,Detected,2,33.333333333333336
Q13686,ALKBH1,ALKBH1 | Q13686,RDH1,19288.3203125,Detected,2,33.333333333333336
Q13686,ALKBH1,ALKBH1 | Q13686,RDH2,NA,Missing,2,33.333333333333336
Q13686,ALKBH1,ALKBH1 | Q13686,RDH3,NA,Missing,2,33.333333333333336
Q14061,COX17,COX17 | Q14061,GFP1,47014.37109375,Detected,2,33.333333333333336
Q14061,COX17,COX17 | Q14061,GFP2,NA,Missing,2,33.333333333333336
Q14061,COX17,COX17 | Q14061,GFP3,10213.1650390625,Detected,2,33.333333333333336
Q14061,COX17,COX17 | Q14061,RDH1,NA,Missing,2,33.333333333333336
Q14061,COX17,COX17 | Q14061,RDH2,16193.2265625,Detected,2,33.333333333333336
Q14061,COX17,COX17 | Q14061,RDH3,10662.205078125,Detected,2,33.333333333333336
Q14442,PIGH,PIGH | Q14442,GFP1,26984.607421875,Detected,3,50
Q14442,PIGH,PIGH | Q14442,GFP2,9164.2626953125,Detected,3,50
Q14442,PIGH,PIGH | Q14442,GFP3,NA,Missing,3,50
Q14442,PIGH,PIGH | Q14442,RDH1,41168.28125,Detected,3,50
Q14442,PIGH,PIGH | Q14442,RDH2,NA,Missing,3,50
Q14442,PIGH,PIGH | Q14442,RDH3,NA,Missing,3,50
Q15012,LAPTM4A,LAPTM4A | Q15012,GFP1,31655.4140625,Detected,3,50
Q15012,LAPTM4A,LAPTM4A | Q15012,GFP2,NA,Missing,3,50
Q15012,LAPTM4A,LAPTM4A | Q15012,GFP3,NA,Missing,3,50
Q15012,LAPTM4A,LAPTM4A | Q15012,RDH1,56145.671875,Detected,3,50
Q15012,LAPTM4A,LAPTM4A | Q15012,RDH2,15987.2578125,Detected,3,50
Q15012,LAPTM4A,LAPTM4A | Q15012,RDH3,NA,Missing,3,50
Q15569,TESK1,TESK1 | Q15569,GFP1,NA,Missing,3,50
Q15569,TESK1,TESK1 | Q15569,GFP2,2225.861572265625,Detected,3,50
Q15569,TESK1,TESK1 | Q15569,GFP3,5055.66064453125,Detected,3,50
Q15569,TESK1,TESK1 | Q15569,RDH1,3730.833984375,Detected,3,50
Q15569,TESK1,TESK1 | Q15569,RDH2,NA,Missing,3,50
Q15569,TESK1,TESK1 | Q15569,RDH3,NA,Missing,3,50
Q16206,ENOX2,ENOX2 | Q16206,GFP1,6577.81005859375,Detected,4,66.66666666666667
Q16206,ENOX2,ENOX2 | Q16206,GFP2,NA,Missing,4,66.66666666666667
Q16206,ENOX2,ENOX2 | Q16206,GFP3,NA,Missing,4,66.66666666666667
Q16206,ENOX2,ENOX2 | Q16206,RDH1,9958.4658203125,Detected,4,66.66666666666667
Q16206,ENOX2,ENOX2 | Q16206,RDH2,NA,Missing,4,66.66666666666667
Q16206,ENOX2,ENOX2 | Q16206,RDH3,NA,Missing,4,66.66666666666667
Q16363,LAMA4,LAMA4 | Q16363,GFP1,20608.951171875,Detected,3,50
Q16363,LAMA4,LAMA4 | Q16363,GFP2,NA,Missing,3,50
Q16363,LAMA4,LAMA4 | Q16363,GFP3,NA,Missing,3,50
Q16363,LAMA4,LAMA4 | Q16363,RDH1,20903.298828125,Detected,3,50
Q16363,LAMA4,LAMA4 | Q16363,RDH2,9353.4404296875,Detected,3,50
Q16363,LAMA4,LAMA4 | Q16363,RDH3,NA,Missing,3,50
Q16526,CRY1,CRY1 | Q16526,GFP1,NA,Missing,3,50
Q16526,CRY1,CRY1 | Q16526,GFP2,NA,Missing,3,50
Q16526,CRY1,CRY1 | Q16526,GFP3,55311.515625,Detected,3,50
Q16526,CRY1,CRY1 | Q16526,RDH1,NA,Missing,3,50
Q16526,CRY1,CRY1 | Q16526,RDH2,42791.64453125,Detected,3,50
Q16526,CRY1,CRY1 | Q16526,RDH3,27400.2421875,Detected,3,50
Q1ZZU3,SWI5,SWI5 | Q1ZZU3,GFP1,NA,Missing,4,66.66666666666667
Q1ZZU3,SWI5,SWI5 | Q1ZZU3,GFP2,2438.993896484375,Detected,4,66.66666666666667
Q1ZZU3,SWI5,SWI5 | Q1ZZU3,GFP3,1904.28955078125,Detected,4,66.66666666666667
Q1ZZU3,SWI5,SWI5 | Q1ZZU3,RDH1,NA,Missing,4,66.66666666666667
Q1ZZU3,SWI5,SWI5 | Q1ZZU3,RDH2,NA,Missing,4,66.66666666666667
Q1ZZU3,SWI5,SWI5 | Q1ZZU3,RDH3,NA,Missing,4,66.66666666666667
Q50LG9,LRRC24,LRRC24 | Q50LG9,GFP1,25758.2578125,Detected,5,83.33333333333333
Q50LG9,LRRC24,LRRC24 | Q50LG9,GFP2,NA,Missing,5,83.33333333333333
Q50LG9,LRRC24,LRRC24 | Q50LG9,GFP3,NA,Missing,5,83.33333333333333
Q50LG9,LRRC24,LRRC24 | Q50LG9,RDH1,NA,Missing,5,83.33333333333333
Q50LG9,LRRC24,LRRC24 | Q50LG9,RDH2,NA,Missing,5,83.33333333333333
Q50LG9,LRRC24,LRRC24 | Q50LG9,RDH3,NA,Missing,5,83.33333333333333
Q53FV1,ORMDL2,ORMDL2 | Q53FV1,GFP1,NA,Missing,3,50
Q53FV1,ORMDL2,ORMDL2 | Q53FV1,GFP2,NA,Missing,3,50
Q53FV1,ORMDL2,ORMDL2 | Q53FV1,GFP3,8499.630859375,Detected,3,50
Q53FV1,ORMDL2,ORMDL2 | Q53FV1,RDH1,25400.375,Detected,3,50
Q53FV1,ORMDL2,ORMDL2 | Q53FV1,RDH2,NA,Missing,3,50
Q53FV1,ORMDL2,ORMDL2 | Q53FV1,RDH3,5784.51806640625,Detected,3,50
Q5JTC6,AMER1,AMER1 | Q5JTC6,GFP1,NA,Missing,2,33.333333333333336
Q5JTC6,AMER1,AMER1 | Q5JTC6,GFP2,1858.510009765625,Detected,2,33.333333333333336
Q5JTC6,AMER1,AMER1 | Q5JTC6,GFP3,2442.126953125,Detected,2,33.333333333333336
Q5JTC6,AMER1,AMER1 | Q5JTC6,RDH1,NA,Missing,2,33.333333333333336
Q5JTC6,AMER1,AMER1 | Q5JTC6,RDH2,6115.12548828125,Detected,2,33.333333333333336
Q5JTC6,AMER1,AMER1 | Q5JTC6,RDH3,6892.19873046875,Detected,2,33.333333333333336
Q5T0U0,CCDC122,CCDC122 | Q5T0U0,GFP1,NA,Missing,5,83.33333333333333
Q5T0U0,CCDC122,CCDC122 | Q5T0U0,GFP2,NA,Missing,5,83.33333333333333
Q5T0U0,CCDC122,CCDC122 | Q5T0U0,GFP3,NA,Missing,5,83.33333333333333
Q5T0U0,CCDC122,CCDC122 | Q5T0U0,RDH1,NA,Missing,5,83.33333333333333
Q5T0U0,CCDC122,CCDC122 | Q5T0U0,RDH2,12433.7939453125,Detected,5,83.33333333333333
Q5T0U0,CCDC122,CCDC122 | Q5T0U0,RDH3,NA,Missing,5,83.33333333333333
Q5T4B2,CERCAM,CERCAM | Q5T4B2,GFP1,NA,Missing,5,83.33333333333333
Q5T4B2,CERCAM,CERCAM | Q5T4B2,GFP2,0,Missing,5,83.33333333333333
Q5T4B2,CERCAM,CERCAM | Q5T4B2,GFP3,NA,Missing,5,83.33333333333333
Q5T4B2,CERCAM,CERCAM | Q5T4B2,RDH1,NA,Missing,5,83.33333333333333
Q5T4B2,CERCAM,CERCAM | Q5T4B2,RDH2,NA,Missing,5,83.33333333333333
Q5T4B2,CERCAM,CERCAM | Q5T4B2,RDH3,17531.51953125,Detected,5,83.33333333333333
Q5T9S5,CCDC18,CCDC18 | Q5T9S5,GFP1,NA,Missing,3,50
Q5T9S5,CCDC18,CCDC18 | Q5T9S5,GFP2,NA,Missing,3,50
Q5T9S5,CCDC18,CCDC18 | Q5T9S5,GFP3,23060.052734375,Detected,3,50
Q5T9S5,CCDC18,CCDC18 | Q5T9S5,RDH1,21925.744140625,Detected,3,50
Q5T9S5,CCDC18,CCDC18 | Q5T9S5,RDH2,23591.70703125,Detected,3,50
Q5T9S5,CCDC18,CCDC18 | Q5T9S5,RDH3,NA,Missing,3,50
Q5TA31,RNF187,RNF187 | Q5TA31,GFP1,0,Missing,6,100
Q5TA31,RNF187,RNF187 | Q5TA31,GFP2,0,Missing,6,100
Q5TA31,RNF187,RNF187 | Q5TA31,GFP3,0,Missing,6,100
Q5TA31,RNF187,RNF187 | Q5TA31,RDH1,0,Missing,6,100
Q5TA31,RNF187,RNF187 | Q5TA31,RDH2,NA,Missing,6,100
Q5TA31,RNF187,RNF187 | Q5TA31,RDH3,NA,Missing,6,100
Q5VUB5,FAM171A1,FAM171A1 | Q5VUB5,GFP1,NA,Missing,3,50
Q5VUB5,FAM171A1,FAM171A1 | Q5VUB5,GFP2,NA,Missing,3,50
Q5VUB5,FAM171A1,FAM171A1 | Q5VUB5,GFP3,4181.39892578125,Detected,3,50
Q5VUB5,FAM171A1,FAM171A1 | Q5VUB5,RDH1,14958.4482421875,Detected,3,50
Q5VUB5,FAM171A1,FAM171A1 | Q5VUB5,RDH2,NA,Missing,3,50
Q5VUB5,FAM171A1,FAM171A1 | Q5VUB5,RDH3,14376.3974609375,Detected,3,50
Q5VXT5,SYPL2,SYPL2 | Q5VXT5,GFP1,120261.125,Detected,3,50
Q5VXT5,SYPL2,SYPL2 | Q5VXT5,GFP2,NA,Missing,3,50
Q5VXT5,SYPL2,SYPL2 | Q5VXT5,GFP3,71475.8203125,Detected,3,50
Q5VXT5,SYPL2,SYPL2 | Q5VXT5,RDH1,122871.21875,Detected,3,50
Q5VXT5,SYPL2,SYPL2 | Q5VXT5,RDH2,NA,Missing,3,50
Q5VXT5,SYPL2,SYPL2 | Q5VXT5,RDH3,NA,Missing,3,50
Q5VY09,IER5,IER5 | Q5VY09,GFP1,NA,Missing,5,83.33333333333333
Q5VY09,IER5,IER5 | Q5VY09,GFP2,NA,Missing,5,83.33333333333333
Q5VY09,IER5,IER5 | Q5VY09,GFP3,NA,Missing,5,83.33333333333333
Q5VY09,IER5,IER5 | Q5VY09,RDH1,NA,Missing,5,83.33333333333333
Q5VY09,IER5,IER5 | Q5VY09,RDH2,630956.875,Detected,5,83.33333333333333
Q5VY09,IER5,IER5 | Q5VY09,RDH3,NA,Missing,5,83.33333333333333
Q63HQ2,EGFLAM,EGFLAM | Q63HQ2,GFP1,8564.98046875,Detected,4,66.66666666666667
Q63HQ2,EGFLAM,EGFLAM | Q63HQ2,GFP2,NA,Missing,4,66.66666666666667
Q63HQ2,EGFLAM,EGFLAM | Q63HQ2,GFP3,NA,Missing,4,66.66666666666667
Q63HQ2,EGFLAM,EGFLAM | Q63HQ2,RDH1,5643.80517578125,Detected,4,66.66666666666667
Q63HQ2,EGFLAM,EGFLAM | Q63HQ2,RDH2,NA,Missing,4,66.66666666666667
Q63HQ2,EGFLAM,EGFLAM | Q63HQ2,RDH3,NA,Missing,4,66.66666666666667
Q6B0I6,KDM4D,KDM4D | Q6B0I6,GFP1,6763.0966796875,Detected,3,50
Q6B0I6,KDM4D,KDM4D | Q6B0I6,GFP2,NA,Missing,3,50
Q6B0I6,KDM4D,KDM4D | Q6B0I6,GFP3,NA,Missing,3,50
Q6B0I6,KDM4D,KDM4D | Q6B0I6,RDH1,15775.9189453125,Detected,3,50
Q6B0I6,KDM4D,KDM4D | Q6B0I6,RDH2,NA,Missing,3,50
Q6B0I6,KDM4D,KDM4D | Q6B0I6,RDH3,5276.09765625,Detected,3,50
Q6IC98,GRAMD4,GRAMD4 | Q6IC98,GFP1,4260.4013671875,Detected,4,66.66666666666667
Q6IC98,GRAMD4,GRAMD4 | Q6IC98,GFP2,NA,Missing,4,66.66666666666667
Q6IC98,GRAMD4,GRAMD4 | Q6IC98,GFP3,NA,Missing,4,66.66666666666667
Q6IC98,GRAMD4,GRAMD4 | Q6IC98,RDH1,13973.3369140625,Detected,4,66.66666666666667
Q6IC98,GRAMD4,GRAMD4 | Q6IC98,RDH2,NA,Missing,4,66.66666666666667
Q6IC98,GRAMD4,GRAMD4 | Q6IC98,RDH3,NA,Missing,4,66.66666666666667
Q6IEE7,TMEM132E,TMEM132E | Q6IEE7,GFP1,12869.640625,Detected,4,66.66666666666667
Q6IEE7,TMEM132E,TMEM132E | Q6IEE7,GFP2,NA,Missing,4,66.66666666666667
Q6IEE7,TMEM132E,TMEM132E | Q6IEE7,GFP3,NA,Missing,4,66.66666666666667
Q6IEE7,TMEM132E,TMEM132E | Q6IEE7,RDH1,13781.529296875,Detected,4,66.66666666666667
Q6IEE7,TMEM132E,TMEM132E | Q6IEE7,RDH2,NA,Missing,4,66.66666666666667
Q6IEE7,TMEM132E,TMEM132E | Q6IEE7,RDH3,NA,Missing,4,66.66666666666667
Q6NVV3,NIPAL1,NIPAL1 | Q6NVV3,GFP1,15577.0634765625,Detected,3,50
Q6NVV3,NIPAL1,NIPAL1 | Q6NVV3,GFP2,NA,Missing,3,50
Q6NVV3,NIPAL1,NIPAL1 | Q6NVV3,GFP3,NA,Missing,3,50
Q6NVV3,NIPAL1,NIPAL1 | Q6NVV3,RDH1,17454.349609375,Detected,3,50
Q6NVV3,NIPAL1,NIPAL1 | Q6NVV3,RDH2,10115.515625,Detected,3,50
Q6NVV3,NIPAL1,NIPAL1 | Q6NVV3,RDH3,NA,Missing,3,50
Q6NZI2,CAVIN1,CAVIN1 | Q6NZI2,GFP1,NA,Missing,4,66.66666666666667
Q6NZI2,CAVIN1,CAVIN1 | Q6NZI2,GFP2,NA,Missing,4,66.66666666666667
Q6NZI2,CAVIN1,CAVIN1 | Q6NZI2,GFP3,NA,Missing,4,66.66666666666667
Q6NZI2,CAVIN1,CAVIN1 | Q6NZI2,RDH1,95928.0859375,Detected,4,66.66666666666667
Q6NZI2,CAVIN1,CAVIN1 | Q6NZI2,RDH2,22550.181640625,Detected,4,66.66666666666667
Q6NZI2,CAVIN1,CAVIN1 | Q6NZI2,RDH3,NA,Missing,4,66.66666666666667
Q6P3R8,NEK5,NEK5 | Q6P3R8,GFP1,54763.0234375,Detected,3,50
Q6P3R8,NEK5,NEK5 | Q6P3R8,GFP2,62884.3046875,Detected,3,50
Q6P3R8,NEK5,NEK5 | Q6P3R8,GFP3,NA,Missing,3,50
Q6P3R8,NEK5,NEK5 | Q6P3R8,RDH1,NA,Missing,3,50
Q6P3R8,NEK5,NEK5 | Q6P3R8,RDH2,NA,Missing,3,50
Q6P3R8,NEK5,NEK5 | Q6P3R8,RDH3,44836.46484375,Detected,3,50
Q6P3S1,DENND1B,DENND1B | Q6P3S1,GFP1,NA,Missing,4,66.66666666666667
Q6P3S1,DENND1B,DENND1B | Q6P3S1,GFP2,NA,Missing,4,66.66666666666667
Q6P3S1,DENND1B,DENND1B | Q6P3S1,GFP3,3281.423095703125,Detected,4,66.66666666666667
Q6P3S1,DENND1B,DENND1B | Q6P3S1,RDH1,NA,Missing,4,66.66666666666667
